name,url,duration,description,test_type,remote_testing,adaptive_irt
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,5 minutes,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",K,Yes,No
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,5 minutes,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",K,Yes,No
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,6 minutes,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",K,Yes,No
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,6 minutes,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",K,Yes,No
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,8 minutes,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",K,Yes,No
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,13 minutes,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",K,Yes,No
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,30 minutes,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",K,Yes,Yes
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,N/A,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.

We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.

Exercises are available across a wide range of job levels and industry contexts.

Contact SHL to find out more.",E,Yes,No
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,20 minutes,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.

 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",S,Yes,No
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,30 minutes,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",S,Yes,No
Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,45 minutes,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. 
 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",S,Yes,No
Automata Data Science (New),https://www.shl.com/products/product-catalog/view/automata-data-science-new/,60 minutes,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,S,Yes,No
Automata Data Science Pro (New),https://www.shl.com/products/product-catalog/view/automata-data-science-pro-new/,60 minutes,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,S,Yes,No
Automata Front End,https://www.shl.com/products/product-catalog/view/automata-front-end/,30 minutes,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.",S,Yes,No
Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,60 minutes,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. 
 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",S,Yes,No
Automata Selenium,https://www.shl.com/products/product-catalog/view/automata-selenium/,N/A,N/A,S,Yes,No
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,8 minutes,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.",K,Yes,No
Automotive Engineering (New),https://www.shl.com/products/product-catalog/view/automotive-engineering-new/,13 minutes,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.",K,Yes,No
Basic Biology (New),https://www.shl.com/products/product-catalog/view/basic-biology-new/,6 minutes,Multi choice test that measures the candidate's basic understanding of Biology.,K,Yes,No
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,30 minutes,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.","S, K",Yes,No
Basic Statistics (New),https://www.shl.com/products/product-catalog/view/basic-statistics-new/,10 minutes,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.",K,Yes,No
Biochemistry (New),https://www.shl.com/products/product-catalog/view/biochemistry-new/,8 minutes,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.",K,Yes,No
Biotech Lab Techniques (New),https://www.shl.com/products/product-catalog/view/biotech-lab-techniques-new/,5 minutes,"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",K,Yes,No
BizTalk (New),https://www.shl.com/products/product-catalog/view/biztalk-new/,16 minutes,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",K,Yes,No
Business Communication (adaptive),https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,24 minutes,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.",K,Yes,Yes
Business Communications,https://www.shl.com/products/product-catalog/view/business-communications/,35 minutes,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",K,Yes,No
C Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new/,10 minutes,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.",K,Yes,No
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,9 minutes,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.",K,Yes,No
C++ Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,10 minutes,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,K,Yes,No
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,4 minutes,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.",K,Yes,No
Ceramic Engineering (New),https://www.shl.com/products/product-catalog/view/ceramic-engineering-new/,12 minutes,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",K,Yes,No
Chemical Engineering (New),https://www.shl.com/products/product-catalog/view/chemical-engineering-new/,13 minutes,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.",K,Yes,No
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,9 minutes,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.",K,Yes,No
Civil Engineering (New),https://www.shl.com/products/product-catalog/view/civil-engineering-new/,10 minutes,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.",K,Yes,No
Cloud Computing (New),https://www.shl.com/products/product-catalog/view/cloud-computing-new/,8 minutes,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.",K,Yes,No
COBOL Programming (New),https://www.shl.com/products/product-catalog/view/cobol-programming-new/,10 minutes,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",K,Yes,No
Computer Science (New),https://www.shl.com/products/product-catalog/view/computer-science-new/,12 minutes,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.",K,Yes,No
Contact Center Call Simulation (New),https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,15 minutes,Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,S,Yes,No
Conversational Multichat Simulation,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,11 minutes,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.",S,Yes,No
Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,13 minutes,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.",K,Yes,No
Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,13 minutes,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.",K,Yes,No
Count Out The Money,https://www.shl.com/products/product-catalog/view/count-out-the-money/,5 minutes,The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,"K, S",Yes,Yes
CSS3 (New),https://www.shl.com/products/product-catalog/view/css3-new/,8 minutes,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,K,Yes,No
Culinary Skills (New),https://www.shl.com/products/product-catalog/view/culinary-skills-new/,7 minutes,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.",K,Yes,No
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,20 minutes,"As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","B, S",Yes,No
Customer Service Phone Solution,https://www.shl.com/products/product-catalog/view/customer-service-phone-solution/,30 minutes,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","B, P, S",Yes,No
Cyber Risk (New),https://www.shl.com/products/product-catalog/view/cyber-risk-new/,9 minutes,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.",K,Yes,No
Data Entry (New),https://www.shl.com/products/product-catalog/view/data-entry-new/,4 minutes,Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,S,Yes,No
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,5 minutes,"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy.",K,Yes,No
Data Entry Numeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-numeric-split-screen-us/,5 minutes,"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard.",K,Yes,No
Data Entry Ten Key Split Screen,https://www.shl.com/products/product-catalog/view/data-entry-ten-key-split-screen/,3 minutes,Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,K,Yes,No
Data Science (New),https://www.shl.com/products/product-catalog/view/data-science-new/,14 minutes,"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.",K,Yes,No
Data Warehousing Concepts,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/,25 minutes,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.",K,Yes,Yes
Dependability and Safety Instrument (DSI),https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,10 minutes,"The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors.

Note: Turkish [end June 2012] and Romanian [end May 2013] are on limited beta relase",P,Yes,No
Dermatology (New),https://www.shl.com/products/product-catalog/view/dermatology-new/,3 minutes,"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology.",K,Yes,No
Desktop Support (New),https://www.shl.com/products/product-catalog/view/desktop-support-new/,8 minutes,"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.",K,Yes,No
Digital Advertising (New),https://www.shl.com/products/product-catalog/view/digital-advertising-new/,7 minutes,Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,K,Yes,No
Digital Readiness Development Report - IC,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,N/A,"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.

Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (see Digital Readiness Report - Managers).",P,Yes,No
Digital Readiness Development Report - Manager,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,N/A,"This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.

Note: this report is specifically aimed at managers. A version designed for individual contributors is also available (see Digital Readiness Report - IC).",P,Yes,No
Docker (New),https://www.shl.com/products/product-catalog/view/docker-new/,10 minutes,"Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.",K,Yes,No
Dojo (New),https://www.shl.com/products/product-catalog/view/dojo-new/,11 minutes,"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.",K,Yes,No
Drupal (New),https://www.shl.com/products/product-catalog/view/drupal-new/,17 minutes,"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.",K,Yes,No
DSI v1.1 Interpretation Report,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,N/A,DSI v1.1 Interpretation Report,P,Yes,No
Econometrics (New),https://www.shl.com/products/product-catalog/view/econometrics-new/,11 minutes,"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.",K,Yes,No
Economics (New),https://www.shl.com/products/product-catalog/view/economics-new/,13 minutes,"Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.",K,Yes,No
Electrical and Electronics Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,14 minutes,"Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.",K,Yes,No
Electrical Engineering (New),https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,8 minutes,"Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.",K,Yes,No
Electronics & Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,15 minutes,"Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering.",K,Yes,No
Electronics and Embedded Systems Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,18 minutes,"Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics.",K,Yes,No
Electronics and Semiconductor Engineering (New),https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,7 minutes,"Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.",K,Yes,No
English Comprehension (New),https://www.shl.com/products/product-catalog/view/english-comprehension-new/,0 minutes,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",K,Yes,No
Enterprise Java Beans (New),https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,4 minutes,"Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency.",K,Yes,No
Enterprise Leadership Report 1.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,N/A,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .",P,Yes,No
Enterprise Leadership Report 2.0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,N/A,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .",P,Yes,No
Entry Level Cashier Solution,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,19 minutes,"The Precise Fit Entry Level Cashier Solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds.
Report Language Availability: English (USA)","C, P",Yes,No
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,19 minutes,"The Precise Fit Entry Level Customer Service Solution (Retail/Contact Center) is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
Report Language Availability: English (USA)","P, C",Yes,No
Entry Level Customer Service (General) Solution,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,14 minutes,"The Precise Fit Entry Level Customer Service Solution (General) is for a wide range of entry-level positions where employees are expected to interact with customers when carrying out critical tasks of the job. This includes positions that require frequent interactions with customers, or positions where customer service is not central to the role, but is still essential for successful performance on the job. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone to provide information; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
Report Language Availability: English (USA)","C, P",Yes,No
Entry Level Hotel Front Desk Solution,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,20 minutes,"The Precise Fit Entry Level Hotel Front Desk Solution is for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of the work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, and accepting payment.
Report Language Availability: English (USA)","C, P",Yes,No
Entry Level Sales Solution,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,20 minutes,"The Precise Fit Entry Level Sales Roles Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.
Report Language Availability: English (USA)","C, P",Yes,No
Entry Level Technical Support Solution,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,18 minutes,"The Precise Fit Entry Level Technical Support Solution is for entry-level positions in which employees provide technical assistance to computer users in a contact center environment. Sample tasks for these jobs include, but are not limited to: answer questions or resolve computer problems for clients in person, via telephone, or electronically, provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and
operating systems.
Report Language Availability: English (USA)","P, C",Yes,No
ETL Testing (New),https://www.shl.com/products/product-catalog/view/etl-testing-new/,9 minutes,"Multi-choice test that measures the knowledge of ETL architecture, data warehousing, dimensions, DBMS concepts like data manipulation, constraints, ETL testing and tools required for testing.",K,Yes,No
